序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
31,35,中国天楹,中国天楹股份有限公司,南通市,海安县,16.12亿,2.25亿,44798,1994-04-08,--,,垃圾发电,--,以BOO、BOT方式投资、建设和运营城市生活垃圾焚烧发电项目，研发、生产、销售垃圾焚烧发电及环保成套设备
32,36,华联控股,华联控股股份有限公司,深圳市,福田区,39.72亿,13.72亿,793,1994-06-17,--,,房地产开发,--,房地产开发及自有物业租赁管理业务
33,37,深南电A,深圳南山热电股份有限公司,深圳市,南山区,20.46亿,37.71万,516,1994-07-01,--,,火电,--,生产经营供电供热、从事发电厂(站)的相关技术咨询和技术服务
34,38,深大通,深圳大通实业股份有限公司,深圳市,南山区,15.10亿,3.58亿,104,1994-08-08,--,,网络媒体,--,新媒体传媒运营、广告发布
35,39,中集集团,中国国际海运集装箱(集团)股份有限公司,深圳市,南山区,763.00亿,31.58亿,49715,1994-04-08,--,,金属制品,--,主要从事集装箱、能源、化工及液态食品装备、海洋工程装备、空港设备的制造及服务业务
36,40,东旭蓝天,东旭蓝天新能源股份有限公司,深圳市,罗湖区,81.31亿,5.40亿,842,1994-08-08,--,,太阳能,--,"光伏电站投资、建设、运营,房地产开发与销售、物业管理等"
37,42,中洲控股,深圳市中洲投资控股股份有限公司,深圳市,南山区,86.54亿,6.09亿,2639,1994-09-21,--,,房地产开发,--,房地产开发、物业租赁经营、酒店经营、建筑施工。
38,43,中航善达,招商局积余产业运营服务股份有限公司,深圳市,福田区,58.93亿,-3472.81万,19886,1994-09-28,--,,房地产开发,主营业务:物业资产管理业务,物业资产管理业务
39,45,深纺织A,深圳市纺织(集团)股份有限公司,深圳市,福田区,14.76亿,7366.17万,1338,1994-08-15,--,,显示器件,--,"以液晶显示用偏光片的研发、生产、营销为代表的高新技术产业,同时还有以地处深圳繁华商业区为主的物业经营管理业务及保留的高档纺织服装业务。"
40,46,泛海控股,泛海控股股份有限公司,北京市,东城区,168.76亿,30.93亿,10201,1994-09-12,--,,房地产开发,--,金融、房地产、战略投资等业务
