序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
134,538,云南白药,云南白药集团股份有限公司,昆明市,呈贡区,243.15亿,31.33亿,--,1993-12-15,--,,中药生产,--,制造和销售以云南白药系列产品和天然植物药系列产品为主的各类药品。
135,539,粤电力A,广东电力发展股份有限公司,广州市,天河区,266.44亿,11.38亿,6688,1993-11-26,--,,火电,--,主要从事电力项目的投资、建设和经营管理，电力的生产和销售业务
136,540,中天金融,中天金融集团股份有限公司,贵阳市,贵阳市,172.64亿,21.44亿,--,1994-02-02,--,,房地产开发,--,房地产及金融业务
137,541,佛山照明,佛山电器照明股份有限公司,佛山市,禅城区,38.00亿,7.46亿,7541,1993-11-23,--,,照明设备,--,照明产品的生产、研发和销售
138,543,皖能电力,安徽省皖能股份有限公司,合肥市,包河区,122.07亿,7929.25万,3498,1993-12-20,--,,火电,--,从事投资建设、经营管理以电力生产为主的能源项目
139,544,中原环保,中原环保股份有限公司,郑州市,金水区,9.76亿,3.23亿,1584,1993-12-08,--,,污水处理,--,城市污水处理和集中供热业务。
140,545,金浦钛业,金浦钛业股份有限公司,吉林市,昌邑区,17.41亿,1.66亿,990,1993-12-15,--,,其他化学原料,--,钛白粉生产及销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
141,546,金圆股份,金圆环保股份有限公司,长春市,朝阳区,50.73亿,4.02亿,3403,1993-12-15,--,,水泥,--,以水泥、商砼业务为核心的建材产业和以固(危)废处置为核心的环保产业两大业务板块。
142,547,航天发展,航天工业发展股份有限公司,福州市,台江区,24.91亿,3.19亿,2326,1993-11-30,--,,通信传输设备,--,电子蓝军、指控通信、电磁安防和发电设备四大主营业务
143,548,湖南投资,湖南投资集团股份有限公司,长沙市,芙蓉区,9.71亿,1.22亿,811,1993-12-20,--,,高速公路,--,路桥收费、酒店经营和房地产开发、现代物业管理
144,550,江铃汽车,江铃汽车股份有限公司,南昌市,青云谱区,313.46亿,6.91亿,14788,1993-12-01,--,,商用车,--,生产和销售商用车、SUV以及相关的零部件
145,551,创元科技,创元科技股份有限公司,苏州市,虎丘区,25.91亿,1.35亿,2636,1994-01-06,--,,综合,--,洁净环保工程及设备、输变电高压瓷绝缘子、滚针轴承、各类光机电算一体化测绘仪器、各类磨料磨具等产品的生产经营。
146,552,靖远煤电,甘肃靖远煤电股份有限公司,白银市,平川区,39.81亿,5.53亿,12439,1994-01-06,--,,煤炭开采洗选,--,煤炭的生产与销售
147,553,安道麦A,安道麦股份有限公司,荆州市,沙市区,238.20亿,15.46亿,7751,1993-12-03,--,,农药,--,农药、化工产品的制造和销售，农药、化工产品及其中间体的进出口贸易
148,554,泰山石油,中国石化山东泰山石油股份有限公司,泰安市,泰山区,27.19亿,284.67万,1383,1993-12-15,--,,石油天然气贸易,--,成品油的批发和零售、天然气的零售
149,555,神州信息,神州数码信息服务股份有限公司,深圳市,南山区,81.87亿,3.18亿,10209,1994-04-08,--,,其他软件服务,--,技术服务、农业信息化、应用软件开发、金融专用设备相关业务及集成解决方案。
150,557,西部创业,宁夏西部创业实业股份有限公司,银川市,金凤区,6.60亿,8699.15万,1136,1994-06-17,--,,铁路运输,--,生态农业产业化、酒的研发、生产与销售，铁路开发建设与经营管理、仓储和物流服务。
151,558,莱茵体育,莱茵达体育发展股份有限公司,杭州市,西湖区,13.24亿,4496.12万,168,1994-05-09,--,,体育运营,--,体育运营、房地产销售及租赁、能源及贸易销售
152,559,万向钱潮,万向钱潮股份有限公司,杭州市,萧山区,111.54亿,9.24亿,8274,1994-01-10,--,,汽车零部件,--,生产底盘及悬架系统，汽车制动系统，汽车传动系统，汽车燃油排气系统，轮毂单元，轴承，精密件，工程机械零部件等汽车系统零部件及总成。
153,560,我爱我家,我爱我家控股集团股份有限公司,昆明市,五华区,13.19亿,7576.63万,47864,1994-02-02,--,,百货,--,房地产综合服务业务、商业零售业，同时涉及房地产业、酒店旅游服务业和物业管理。
154,561,烽火电子,陕西烽火电子股份有限公司,宝鸡市,宝鸡市,12.17亿,8891.02万,2894,1994-05-09,--,,通信终端设备,--,从事通信装备及电声器材的科研、生产、销售。
155,563,陕国投A,陕西省国际信托股份有限公司,西安市,雁塔区,11.51亿,3.52亿,639,1994-01-10,--,,信托,--,投资银行的一般业务
156,564,供销大集,供销大集集团股份有限公司,西安市,新城区,277.90亿,14.74亿,4845,1994-01-10,--,,百货,--,商业零售
157,565,渝三峡A,重庆三峡油漆股份有限公司,重庆市,江津区,36.09亿,8112.54万,915,1994-04-08,--,,涂料涂漆,--,油漆涂料的生产销售。
158,566,海南海药,海南海药股份有限公司,海口市,秀英区,18.25亿,8120.67万,2588,1994-05-25,--,,化学制剂,--,药品及医疗器械研发、生产和销售
159,567,海德股份,海南海德资本管理股份有限公司,海口市,海口市,2.03亿,7326.83万,58,1994-05-25,--,,其他非银行金融,--,不良资产收购处置类业务、不良资产收购重组类业务、不良资产ABS业务以及事务管理类业务
160,568,泸州老窖,泸州老窖股份有限公司,泸州市,江阳区,103.95亿,26.02亿,3228,1994-05-09,--,,白酒,--,“国窖1573”、“泸州老窖”等系列白酒的研发、生产和销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
161,570,苏常柴A,常柴股份有限公司,常州市,钟楼区,24.23亿,4713.72万,3010,1994-07-01,--,,内燃机,--,以“常柴牌”为商标的中小型单缸和多缸柴油机的生产及销售
162,571,*ST大洲,新大洲控股股份有限公司,海口市,美兰区,16.03亿,4470.77万,3558,1994-05-25,--,,煤炭开采洗选,--,煤炭采掘;物流运输;电动车的生产经营和物业管理等
163,572,ST海马,海马汽车股份有限公司,海口市,海口市,100.79亿,-14.15亿,3655,1994-08-08,--,,乘用车,--,汽车及汽车发动机的研发、制造、销售、物流配送及相关业务，金融服务业
164,573,粤宏远A,东莞宏远工业区股份有限公司,东莞市,东莞市,5.66亿,3162.54万,267,1994-08-15,--,,房地产开发,--,开发经营工业区、房地产开发销售、原煤开采销售
165,576,广东甘化,江门甘蔗化工厂(集团)股份有限公司,江门市,蓬江区,4.75亿,-2.84亿,232,1994-09-07,--,,造纸,--,贸易业务和电源产品、预制破片等军工产品的研发、生产、销售。
166,581,威孚高科,无锡威孚高科技集团股份有限公司,无锡市,滨湖区,90.17亿,26.47亿,5441,1998-09-24,--,,汽车零部件,--,汽车燃油喷射系统、汽车后处理系统、发动机进气系统等产品的开发、制造和销售业务
167,582,北部湾港,北部湾港股份有限公司,北海市,海城区,37.11亿,6.43亿,7197,1995-11-02,--,,港口,--,从事投资兴建港口、码头、装卸、仓储管理及服务，交通运输（普通货运），机械加工及修理，外轮代理、物流代理服务，国内、国际商业贸易等
168,584,哈工智能,江苏哈工智能机器人股份有限公司,无锡市,江阴市,15.72亿,1.15亿,1013,1995-11-28,--,,氨纶,--,智能制造业务，房地产销售、租赁业务以及氨纶生产销售业务。
169,585,*ST东电,东北电气发展股份有限公司,常州市,新北区,3298.59万,-3.98亿,162,1995-12-13,--,,其他输变电设备,--,电力电容器及封闭母线等系统保护及传输设备的制造和营销
170,586,汇源通信,四川汇源光通信股份有限公司,成都市,金牛区,3.90亿,94.63万,--,1995-12-20,--,,通信传输设备,--,通信工程及系统集成业务、光纤、光缆及相关产品业务
171,587,*ST金洲,金洲慈航集团股份有限公司,伊春市,伊春区,116.98亿,11.10亿,118,1996-04-25,--,,珠宝首饰,--,黄金珠宝首饰研发设计、加工制造、批发零售及品牌加盟，融资租赁
172,589,贵州轮胎,贵州轮胎股份有限公司,贵阳市,乌当区,69.60亿,-2.22亿,6052,1996-03-08,--,,轮胎,--,轮胎生产及销售
173,590,启迪古汉,启迪古汉集团股份有限公司,衡阳市,蒸湘区,3.44亿,990.60万,1336,1996-01-19,--,,中药生产,--,主要生产销售以古汉养生精（口服液、片剂）为代表的中成药系列产品，以克林霉素磷酸酯小针剂和各类输液为主的西药制剂系列产品。
174,591,太阳能,中节能太阳能股份有限公司,重庆市,渝中区,52.05亿,8.11亿,1824,1996-02-08,--,,新能源发电,--,"太阳能光伏电站的投资运营,以及太阳能电池组件的生产销售"
175,592,平潭发展,中福海峡(平潭)发展股份有限公司,福州市,平潭县,8.48亿,-687.32万,1127,1996-03-27,--,,木材加工,--,造林营林、林木产品加工与销售、以烟草化肥销售为主的农资贸易业务和与平潭综合实验区开发项目的有关业务。
176,593,大通燃气,四川大通燃气开发股份有限公司,成都市,成华区,4.86亿,2681.59万,1090,1996-03-12,--,,燃气,--,城市管道燃气和零售商业
177,595,*ST宝实,宝塔实业股份有限公司,银川市,西夏区,4.36亿,2783.79万,1335,1996-04-19,--,,基础件,--,轴承制造、物资贸易
178,596,古井贡酒,安徽古井贡酒股份有限公司,亳州市,亳州市,69.68亿,11.85亿,9681,1996-09-27,--,,白酒,--,白酒的生产与销售、包装材料的生产与销售、农副产品的加工与生产、酒店餐饮等
179,597,东北制药,东北制药集团股份有限公司,沈阳市,于洪区,56.76亿,9205.77万,7826,1996-05-23,--,,化学原料药,--,生产和销售化学原料药品及制剂药品、经营医药产品批发及零售、生物制剂的生产与销售
180,598,兴蓉环境,成都市兴蓉环境股份有限公司,成都市,青羊区,37.31亿,9.16亿,3912,1996-05-29,--,,污水处理,--,自来水供应、污水处理及垃圾渗滤液处理。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
181,599,青岛双星,青岛双星股份有限公司,青岛市,黄岛区,39.98亿,1.02亿,4648,1996-04-30,--,,轮胎,--,轮胎、机械等产品的生产及销售。
182,600,建投能源,河北建投能源投资股份有限公司,石家庄市,石家庄市,105.69亿,3.12亿,4540,1996-06-06,--,,火电,--,投资、建设、运营管理以电力生产为主的能源项目
183,601,韶能股份,广东韶能集团股份有限公司,韶关市,武江区,35.94亿,4.58亿,4962,1996-08-30,--,,火电,--,电力生产与销售
184,603,盛达资源,盛达金属资源股份有限公司,北京市,大兴区,13.34亿,4.62亿,1380,1996-08-23,--,,铅锌,--,有色金属矿采选，铅精粉（含银）、锌精粉的生产和销售
185,605,渤海股份,渤海水业股份有限公司,北京市,顺义区,16.63亿,1.75亿,1795,1996-09-13,--,,水务,--,原水和自来水开发供应、管道输水运输、供水设施管理、维护和保养、水务基础设施投资建设及运营管理。
186,606,顺利办,顺利办信息服务股份有限公司,西宁市,城东区,5.16亿,7759.19万,2143,1996-10-04,--,,其他互联网服务,--,互联网服务业务
187,607,华媒控股,浙江华媒控股股份有限公司,杭州市,下城区,18.32亿,2.10亿,2797,1996-08-30,--,,营销服务,--,经营广告、报刊发行、印刷及新媒体业务、新增教育培训
188,608,阳光股份,阳光新业地产股份有限公司,南宁市,江南区,5.34亿,1.90亿,109,1996-09-19,--,,房地产开发,--,房地产开发与销售，投资性房地产出租与资产管理输出服务
189,609,中迪投资,北京中迪投资股份有限公司,北京市,丰台区,2.71亿,1.34亿,195,1996-10-10,--,,综合,--,股权投资和资产投资
190,610,西安旅游,西安旅游股份有限公司,西安市,碑林区,7.30亿,-2012.53万,691,1996-09-26,--,,景区,--,酒店经营管理、餐饮服务、旅行社、商业地产开发租赁、企业管理咨询、物业管理服务和劳务输出等。
191,611,ST天首,内蒙古天首科技发展股份有限公司,包头市,青山区,4077.93万,-2152.78万,36,1996-10-08,--,,纺织,--,纺织品加工、销售，高硅硅锰铁合金等新材料贸易
192,612,焦作万方,焦作万方铝业股份有限公司,焦作市,马村区,50.17亿,1.76亿,2747,1996-09-26,--,,铝,--,铝冶炼及加工
193,613,大东海A,海南大东海旅游中心股份有限公司,三亚市,三亚市,2790.66万,285.90万,133,1997-01-28,--,,酒店,--,旅游服务业中的住宿和餐饮
194,615,京汉股份,京汉实业投资集团股份有限公司,襄阳市,樊城区,27.95亿,4.18亿,3728,1996-10-16,--,,房地产开发,--,房地产业务和粘胶纤维业务
195,616,海航投资,海航投资集团股份有限公司,大连市,中山区,9670.73万,792.84万,179,1996-11-08,--,,房地产开发,--,以商品住宅及商铺的开发和销售为主；物业管理与经营服务等。
196,617,中油资本,中国石油集团资本股份有限公司,克拉玛依市,克拉玛依区,293.05亿,135.12亿,4361,1996-10-22,--,,其他非银行金融,--,以自有资金对外投资、投资管理；投资咨询服务，企业策划；企业投资服务。
197,619,海螺型材,芜湖海螺型材科技股份有限公司,芜湖市,鸠江区,30.88亿,1478.16万,3812,1996-10-23,--,,其他建材,--,主要生产销售塑料型材、门窗等节能建筑材料。
198,620,新华联,新华联文化旅游发展股份有限公司,北京市,通州区,74.41亿,8.53亿,8398,1996-10-29,--,,房地产开发,--,房地产开发、经营与建筑装修
199,622,恒立实业,恒立实业发展集团股份有限公司,岳阳市,岳阳楼区,5873.31万,-3669.78万,137,1996-11-07,--,,汽车零部件,--,汽车空调及零部件业务和贸易
200,623,吉林敖东,吉林敖东药业集团股份有限公司,延边朝鲜族自治州,敦化市,29.77亿,18.45亿,3997,1996-10-28,--,,中药生产,--,制药业为主导产业，集养殖、种植、房地产开发、商业、机械修理、仓储、饮食服务业、运输等多业经营
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
201,625,长安汽车,重庆长安汽车股份有限公司,重庆市,江北区,800.12亿,72.08亿,36764,1997-06-10,--,,乘用车,--,制造和销售汽车(含轿车)、制造汽车发动机系列产品
202,626,远大控股,远大产业控股股份有限公司,连云港市,连云港市,1015.25亿,-3.72亿,643,1996-11-28,--,,贸易,--,进出口贸易业务
203,627,天茂集团,天茂实业集团股份有限公司,荆门市,荆门市,534.06亿,26.78亿,2314,1996-11-12,--,,保险,--,从事化工和医药原料药的生产和销售
204,628,高新发展,成都高新发展股份有限公司,成都市,武侯区,5.73亿,2911.79万,1137,1996-11-18,--,,专业工程,--,建筑业、房地产、厨柜制造、期货经纪等业务
205,629,攀钢钒钛,攀钢集团钒钛资源股份有限公司,攀枝花市,东区,94.36亿,9.20亿,3376,1996-11-15,--,,普钢,--,钒产品、钛渣、钛白粉的生产、销售、技术研发和应用开发
206,630,铜陵有色,铜陵有色金属集团股份有限公司,铜陵市,铜官区,824.29亿,7.29亿,15292,1996-11-20,--,,铜,--,铜、铁、硫金矿采选，铜、金、银、稀有贵金属冶炼及压延加工，硫酸、电子产品生产、铜加工产品等。
207,631,顺发恒业,顺发恒业股份公司,长春市,朝阳区,66.82亿,7.58亿,685,1996-11-22,--,,房地产开发,--,房地产领域开发与运营
208,632,三木集团,福建三木集团股份有限公司,福州市,马尾区,66.61亿,6138.70万,--,1996-11-21,--,,综合,--,房地产开发与经营、进出口贸易。
209,633,合金投资,新疆合金投资股份有限公司,沈阳市,沈阳市,6645.77万,-2499.37万,251,1996-11-12,--,,其他金属新材料,--,镍基合金材料的制造和销售
210,635,英力特,宁夏英力特化工股份有限公司,石嘴山市,惠农区,19.65亿,9331.30万,2180,1996-11-20,--,,氯碱,--,电石及其系列延伸产品的生产和销售；聚氯乙烯、烧碱及其系列延伸产品的生产和销售；特种树脂生产及销售；电力、热力的生产及销售。
211,636,风华高科,广东风华高新科技股份有限公司,肇庆市,端州区,33.55亿,2.62亿,6176,1996-11-29,--,,电子元件,--,系列新型片式元器件、光机电一体化电子专用设备及电子材料等电子信息基础产品的研制、生产和销售。
212,637,茂化实华,茂名石化实华股份有限公司,茂名市,茂南区,44.08亿,1.18亿,665,1996-11-14,--,,石油加工,--,石油化工产品的生产及销售
213,638,万方发展,万方城镇投资发展股份有限公司,沈阳市,和平区,1.28亿,1981.97万,466,1996-11-26,--,,贸易,--,与城镇化建设有关的土地一级整理、回迁安置房建设、辅以贸易等业务
214,639,西王食品,西王食品股份有限公司,滨州市,邹平县,56.18亿,3.96亿,1924,1996-11-26,--,,植物油,--,健康食用油及运动营养和体重管理
215,650,仁和药业,仁和药业股份有限公司,南昌市,青山湖区,38.44亿,4.41亿,6886,1996-12-10,--,,中药生产,--,生产、销售中西药及健康相关产品，包括胶囊剂、颗粒剂、片剂、栓剂、软膏剂、搽剂等药品以及健康相关产品。
216,651,格力电器,珠海格力电器股份有限公司,珠海市,香洲区,1500.20亿,225.08亿,88846,1996-11-18,--,,空调,--,生产销售空调器、自营空调器出口业务及其相关零配件的进出口业务
217,652,泰达股份,天津泰达股份有限公司,天津市,滨海新区,190.23亿,5.48亿,1274,1996-11-28,--,,贸易,--,生态环保、区域开发、能源贸易、股权投资
218,655,金岭矿业,山东金岭矿业股份有限公司,淄博市,张店区,10.44亿,-3.20亿,2851,1996-11-28,--,,铁矿石,--,铁矿石开采，铁精粉、铜精粉、钴精粉、球团矿的生产、销售及机械加工与销售。
219,656,金科股份,金科地产集团股份有限公司,重庆市,江北区,347.58亿,22.85亿,22812,1996-11-28,--,,房地产开发,--,房地产开发为主，新能源发电、社区综合服务、酒店经营管理、园林、门窗、装饰等相关多元化产业经营为辅
220,657,中钨高新,中钨高新材料股份有限公司,海口市,龙华区,67.09亿,1.89亿,7537,1996-12-05,--,,钨,--,硬质合金生产及加工销售
